bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
2,21500000,2.15 Cr,Sindhi Society Chembur,Sun Builders Pvt. Ltd.,,649.0,ready to move,,,,Mumbai
2,16800000,1.68 Cr,Malad East,Right Channel Construction Pvt. Ltd.,,,ready to move,Malad Railway Station (E) Bus Stop,Carefull Hospital Maternity And General,Eastern Mall,Mumbai
3,30000000,3 Cr,Wadala East,DOSTI REALTY,,,ready to move,Wadala Bridge Monorail Station,,,Mumbai
2,56200000,5.62 Cr,Saraswat Colony,AP Properties,Saraswat Colony is available for purchase at price of ₹5,804.0,ready to move,,,,Mumbai
3,47000000,4.70 Cr,Santacruz East,Kalpataru Ltd.,,992.0,ready to move,Kolivery Village Bus Stop,Sparsh Hospital,Hi- Life Mall,Mumbai
1,8500000,85 Lac,Bhandup West,Beauty Ganraj Construction LLP,Beauty Landmark,360.0,ready to move,Nahur Railway Station,SAS Hospital,,Mumbai
2,20000000,2 Cr,Malad East,Omkar Realtors and Developers Pvt. Ltd.,,,ready to move,Malad Railway Station (E) Bus Stop,Sanjeevani Hospital,Metro Bazaar,Mumbai
4,120250000,12.02 Cr,Hiranandani Gardens,Hiranandani Group,,1850.0,Dec '29,,Powai Hospital,,Mumbai
5,104900000,10.49 Cr,Borivali West,Rajesh LifeSpaces,,,ready to move,Borivali (West) Metro Station,MM Hospital,N-MORE,Mumbai
2,20500000,2.05 Cr,Mulund East,Lodha Developers Limited,,750.0,ready to move,Mulund (E) Bus Stop,Ashirvad Criticare Multispeciality Hospital,A - Mart Super Market,Mumbai
5,80000000,8 Cr,Chembur,Concrete Builders,,,ready to move,Ashok Nagar Bus Stop,Surana Sethia Hopsital,Cubic Mall,Mumbai
1,20542500,2.05 Cr,BBD Chawl Naigaon,Cooperative Group Housing Society,,,ready to move,,,,Mumbai
4,79900000,7.99 Cr,Gokuldham,DB Realty Pvt. Ltd.,,,ready to move,,,,Mumbai
1,12000000,1.20 Cr,Thakur Complex,Dimple realtors Pvt. Ltd.,Thakur Complex is available at the price of ₹1,430.0,ready to move,Suruchi \u002F Kankia Park Bus Stop,,,Mumbai
4,170000000,17 Cr,Parel,Kalpataru Ltd.,Parel is available at the price of ₹17 Cr,,ready to move,Sewree Naka Bus Stop,Wadia Hospital,,Mumbai
2,34500000,3.45 Cr,Thakur Village,Sea Princess Realty,,841.0,ready to move,,Satya Specialist Hospital,Reliance Mall Borivali,Mumbai
3,75000000,7.50 Cr,Yashodham,Oberoi Realty Ltd.,,,ready to move,,,,Mumbai
4,69900000,6.99 Cr,Laxmi Industrial Estate,Adani Realty,,1776.0,Nov '27,,,Spar Arreda India,Mumbai
3,54000000,5.40 Cr,Powai,Lodha Developers Limited,Powai is available for purchase at price of ₹5,1230.0,ready to move,Jama Masjid Bus Stop,Dhanvantari,DMart,Mumbai
2,16000000,1.60 Cr,Chembur,Om Sai Developers,,650.0,ready to move,Dr. Ambedkar Udyaan \u002F Chembur Railway Station Bus Stop,Mangal Anand Hospital,Phoenix Marketcity Mall,Mumbai
3,32000000,3.20 Cr,Kandivali East,Mahindra Lifespace Developers Ltd.,,,Dec '29,Poisar Metro Station|5 minutes,ESIC Hospital,Thakur Mall Kandivali East,Mumbai
2,25920000,2.59 Cr,Chembur East,Shubham group,,720.0,ready to move,,Sushrut Hospital,,Mumbai
2,16000000,1.60 Cr,Kandivali West,Hiral Homes,a well-connected area of Kandivali West,,ready to move,Mahavir Nagar Metro Station|5 minutes,Nidhi Narsing Home,Akruti Shopping Centre,Mumbai
2,22000000,2.20 Cr,Chandivali,Godrej Properties,,630.0,ready to move,Oshiwara Police Station Bus Stop,Nirali,DMart,Mumbai
1,10000000,1 Cr,Chembur East,Chandak Group,Chembur East is available at the price of ₹1 Cr,440.0,Dec '28,,Sushrut Hospital,,Mumbai
3,72000000,7.20 Cr,Bandra East,Kalpataru Ltd.,Kalpataru Magnus which is a 9 years old construction,,ready to move,Bandra-Kurla Complex Metro Station|5 minutes,Dr Aggarwal Children Hospital,Meena Bazar,Mumbai
2,17500000,1.75 Cr,Bhandup West,Mahadev & Company Pvt. Ltd.,,,ready to move,Nahur Railway Station,A.P.S. Multi-speciality Hospital and ICCU (Central),,Mumbai
3,64800000,6.48 Cr,Four Bungalows,Adani Realty,,1352.0,ready to move,Four Bungalows Bus Stop,Kokilaben Dhirubhai Ambani Hospital,,Mumbai
1,11000000,1.10 Cr,Pant Nagar,Natasha Developers,,,ready to move,Ghatkopar Station (E) LIC Bus Stop,Parakh Hospital,"R City, Neelyog Square",Mumbai
2,10200000,1.02 Cr,Dahisar East,Lodha Developers Limited,,600.0,ready to move,Dahisar Metro Station|5 minutes,Life Care Hospital,Thakur Mall,Mumbai
5,140000000,14 Cr,3305 sqft,Supreme Universal,,,ready to move,,Sushrut Hospital,,Mumbai
1,11500000,1.15 Cr,Lokhandwala Township,Godrej Properties,a well-connected area of Lokhandwala Township,,ready to move,,Apex Hospital,Centrium Mall,Mumbai
6,107500000,10.75 Cr,Bandra East,Dheeraj Realty,,2916.0,ready to move,Bandra-Kurla Complex Metro Station|10 minutes,Wockhardt Life Win,VN Mall,Mumbai
